,BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA,경도,위도
200,1003,M,201273,451692,1.11402E+18,35.52,11140615,207263,201268,451688,201278,451695,35.52,127.012307,37.56751194
201,1003,M,201297,451697,1.11402E+18,24.59,11140615,207263,201294,451692,201300,451702,24.59,127.0125787,37.56755696
202,1003,M,201293,451697,1.11402E+18,21.52,11140615,207263,201291,451692,201297,451702,21.52,127.0125334,37.56755696
203,1003,M,201265,451692,1.11402E+18,25.81,11140615,207263,201261,451688,201269,451695,25.81,127.0122165,37.56751195
204,1003,M,201287,451674,1.11402E+18,52.32,11140615,207263,201283,451671,201291,451677,26.16,127.0124655,37.56734974
205,1003,M,201283,451689,1.11402E+18,24.41,11140615,207263,201279,451685,201288,451692,24.41,127.0124202,37.5674849
206,1003,M,201273,451683,1.11402E+18,65.07,11140615,207263,201268,451677,201279,451689,65.07,127.012307,37.56743085
207,1003,M,201293,451718,1.11402E+18,84.73,11140615,207263,201289,451710,201298,451724,84.73,127.0125335,37.56774617
208,1003,M,201302,451720,1.11402E+18,79.03,11140615,207263,201297,451713,201308,451725,79.03,127.0126353,37.56776418
209,1003,M,200624,450014,1.11402E+18,121.4,11140625,207394,200618,450008,200629,450020,60.7,127.0049597,37.55239396
210,1001,M,200629,450023,1.11402E+18,36.53,11140625,207394,200623,450019,200633,450027,36.53,127.0050163,37.55247504
211,1003,M,196860,450438,1.11402E+18,140.88,11140680,208499,196856,450433,196865,450442,35.22,126.9623615,37.55620876
212,1003,M,197014,450554,1.11402E+18,156.8,11140680,161647,197009,450550,197019,450559,39.2,126.9641039,37.55725443
213,1001,M,197202,451068,1.11402E+18,25.02,11140680,208263,197199,451064,197205,451072,25.02,126.9662295,37.56188612
214,2003,M,197200,451083,1.11402E+18,61.15,11140680,208263,197194,451077,197205,451089,61.15,126.9662069,37.56202126
215,1003,M,200647,450035,1.11402E+18,87.66,11140625,207394,200643,450030,200651,450040,43.83,127.00522,37.55258315
216,1003,M,200648,450071,1.11402E+18,94.23,11140625,207370,200643,450062,200653,450078,94.23,127.0052313,37.55290751
217,1003,M,200651,450090,1.11402E+18,35.25,11140625,207370,200647,450085,200654,450094,35.25,127.0052653,37.55307869
218,1003,M,200643,450087,1.11402E+18,43.42,11140625,207370,200640,450081,200645,450093,43.42,127.0051748,37.55305167
219,1003,M,200644,450102,1.11402E+18,144.42,11140625,207370,200639,450095,200648,450108,72.21,127.0051861,37.55318682
