관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,WGS84위도,WGS84경도
서울특별시 중구청,서울특별시 중구 난계로10길 12,서울특별시 중구 신당5동 85-781,생활방범,37.5621,127.0221
서울특별시 중구청,서울특별시 중구 퇴계로 428-3,서울특별시 중구 신당5동 130-28,생활방범,37.5654,127.0193
서울특별시 중구청,서울특별시 중구 퇴계로 88가길 52,서울특별시 중구 신당5동 166-34,생활방범,37.5626,127.0229
서울특별시 중구청,서울특별시 중구 퇴계로88길23,서울특별시 중구 신당동152-17,생활방범,37.5644,127.0209
서울특별시 중구청,서울특별시 중구 퇴계로86길19,서울특별시 중구 신당동143-23,생활방범,37.5646,127.0196
서울특별시 중구청,서울특별시 중구 장충단로8길 14 (장충동1가),서울특별시 중구 장충동1가 34-6,생활방범,37.5618,127.0072
서울특별시 중구청,서울특별시중구장충단로8길1,서울특별시 중구 장충동1가 37-14,생활방범,37.5621,127.0078
서울특별시 중구청,서울특별시 중구 장충단로6가길 21-7 (장충동1가),서울특별시 중구 장충동1가 35-43,생활방범,37.5613,127.0085
서울특별시 중구청,서울특별시 중구 장충단로6길 10 (장충동1가),서울특별시 중구 장충동1가 48-22,생활방범,37.5614,127.0070
서울특별시 중구청,서울특별시 중구 장충단로6가길 32 (장충동1가),서울특별시 중구 장충동1가 49-8,생활방범,37.5608,127.0085
서울특별시 중구청,서울특별시 중구 장충단로4길 50 (장충동1가),서울특별시 중구 장충동1가 50-30,생활방범,37.5605,127.0082
서울특별시 중구청,"서울특별시 중구 동호로20나길 30 (장충동1가, 상지리츠빌 장충동 카일룸)",서울특별시 중구 장충동1가 52-37,생활방범,37.5603,127.0072
서울특별시 중구청,서울특별시 중구 동호로30길 25 (장충동2가),서울특별시 중구 장충동2가 50-6,생활방범,37.5611,127.0043
서울특별시 중구청,서울특별시 중구 을지로 127 (을지로3가),서울특별시 중구 을지로3가 118-6,쓰레기단속,37.5666,126.9920
서울특별시 중구청,서울특별시 중구 을지로27가길 10 (주교동),서울특별시 중구 주교동 273-5,쓰레기단속,37.5678,126.9997
서울특별시 중구청,서울특별시 중구 마른내로4길 11,서울특별시 중구 인현동1가 114-2,쓰레기단속,37.5639,126.9939
서울특별시 중구청,서울특별시 중구 다산로31길 16 (신당동),서울특별시 중구 신당동 304-362,쓰레기단속,37.5617,127.0135
서울특별시 중구청,서울특별시 중구 다산로39길 46,서울특별시 중구 신당동 248-34,쓰레기단속,37.5647,127.0132
