,개방자치단체코드,관리번호,영업상태명,소재지면적,소재지우편번호,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
113,3010000,3010000-201-2003-00032,영업/정상,247.5,100855,서울특별시 중구 장충동2가 12-6번지 ,서울특별시 중구 동호로30길 42 (장충동2가),장충인(J C INN),여관업,200394.7266,450973.574,127.0023655,37.56103973
114,3010000,3010000-201-2003-00033,영업/정상,48.6,100869,서울특별시 중구 황학동 754번지 ,,평양여인숙,여인숙업,201540.8996,451623.1039,127.0153393,37.5668908
115,3010000,3010000-201-2003-00034,영업/정상,102,100340,서울특별시 중구 산림동 4번지 ,서울특별시 중구 창경궁로5가길 19 (산림동),광신장여관,여관업,199706.0013,451734.4737,126.9945701,37.56789535
116,3010000,3010000-201-2003-00035,영업/정상,252,100-042,서울특별시 중구 남산동2가 11-1,서울특별시 중구 퇴계로20길 5-4 (남산동2가),서울뷰,여관업,198691.03,450839.3585,126.9830831,37.5598295
117,3010000,3010000-201-2003-00036,영업/정상,76.64,100-819,서울특별시 중구 신당동 130-14,서울특별시 중구 퇴계로 428-8 (신당동),중앙장여관,여관업,201614.9075,451446.4198,127.0161766,37.56529878
118,3010000,3010000-201-2003-00037,영업/정상,119,100823,서울특별시 중구 신당동 239-45번지 ,서울특별시 중구 다산로35길 29-1 (신당동),J모텔,여관업,201175.5547,451303.7669,127.0112035,37.56401413
119,3010000,3010000-201-2003-00038,영업/정상,290.4,100858,서울특별시 중구 중림동 128-24번지 ,서울특별시 중구 청파로 429-6 (중림동),해성장여관,여관업,197186.7897,450662.7612,126.966059,37.55823491
120,3010000,3010000-201-2003-00039,영업/정상,225.23,100852,서울특별시 중구 입정동 162,서울특별시 중구 충무로14길 6-12 (입정동),경주모텔,여관업,199305.7089,451695.3221,126.9900391,37.56754235
121,3010000,3010000-201-2003-00043,영업/정상,166,100855,서울특별시 중구 장충동2가 36-5번지 ,서울특별시 중구 동호로30길 27-6 (장충동2가),동림여관,여관업,200339.9489,451007.8676,127.0017455,37.56134873
122,3010000,3010000-201-2003-00045,영업/정상,165,100819,서울특별시 중구 신당동 130-13번지 ,서울특별시 중구 퇴계로84길 9 (신당동),현대여관,여관업,201601.8509,451437.9734,127.0160288,37.5652227
123,3010000,3010000-201-2003-00046,영업/정상,375.76,100859,서울특별시 중구 중림동 331-14,서울특별시 중구 만리재로35길 49 (중림동),WO모텔 충정로,여관업,197084.5067,450570.7789,126.9649018,37.55740583
124,3010000,3010000-201-2003-00047,영업/정상,45,100371,서울특별시 중구 만리동1가 62-38번지 ,서울특별시 중구 만리재로 207-10 (만리동1가),동은여인숙,여인숙업,197082.9529,450416.9964,126.9648848,37.55602027
125,3010000,3010000-201-2003-00049,영업/정상,149.54,100884,서울특별시 중구 신당동 308-21번지 ,서울특별시 중구 동호로12길 104 (신당동),대천여관,여관업,201037.9198,450825.1228,127.009645,37.55970175
126,3010000,3010000-201-2003-00050,영업/정상,165,100830,서울특별시 중구 신당동 366-101번지 ,서울특별시 중구 다산로 66 (신당동),세화장여관,여관업,200624.7099,449784.7596,127.0049675,37.55032852
